@RELATION myRel

@ATTRIBUTE A1 {0, 1}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {1, 2, 3}
@ATTRIBUTE A5 NUMERIC
@ATTRIBUTE A6 NUMERIC
@ATTRIBUTE A7 NUMERIC
@ATTRIBUTE A8 {0, 1}
@ATTRIBUTE A9 {0, 1}
@ATTRIBUTE A10 NUMERIC
@ATTRIBUTE A11 {0, 1}
@ATTRIBUTE A12 {1, 2, 3}
@ATTRIBUTE A13 NUMERIC
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
1,4117.0,1335.0,2,2.0,4.0,165.0,0,0,0.0,0,2,168.0,1.0,0
1,1858.0,571.0,2,2.0,4.0,54.0,0,0,0.0,0,2,120.0,1.0,0
1,2458.0,125.0,2,8.0,4.0,25.0,0,0,0.0,0,2,110.0,1.0,0
1,2192.0,5.0,2,8.0,4.0,125.0,0,0,0.0,0,2,360.0,1.0,0
1,1883.0,0.0,2,11.0,4.0,665.0,0,0,0.0,0,2,160.0,2.0,0
1,375.0,835.0,2,10.0,4.0,4.0,0,0,0.0,0,2,120.0,6.0,0
1,1792.0,205.0,2,6.0,4.0,4.0,0,0,0.0,0,2,280.0,751.0,0
1,2683.0,54.0,2,4.0,1.0,0.0,0,0,0.0,0,2,100.0,1.0,0
1,4717.0,5835.0,2,9.0,4.0,55.0,0,0,0.0,0,2,465.0,151.0,0
1,3617.0,18125.0,2,9.0,4.0,85.0,0,0,0.0,0,2,320.0,3553.0,0
1,35.0,3375.0,2,8.0,8.0,829.0,0,0,0.0,1,2,0.0,1.0,0
1,3417.0,275.0,2,3.0,5.0,25.0,0,0,0.0,1,2,232.0,201.0,0
1,3892.0,175.0,2,4.0,4.0,5.0,0,0,0.0,1,2,300.0,3.0,0
1,2225.0,46.0,2,4.0,4.0,125.0,0,0,0.0,1,2,280.0,56.0,0
1,3233.0,25.0,2,8.0,4.0,125.0,0,0,0.0,1,2,280.0,1.0,0
1,20.0,11045.0,2,8.0,4.0,2.0,0,0,0.0,1,2,136.0,1.0,0
1,5242.0,15.0,2,2.0,4.0,375.0,0,0,0.0,1,2,0.0,351.0,0
0,2975.0,665.0,2,9.0,4.0,25.0,0,0,0.0,1,2,300.0,1.0,0
0,235.0,15.0,2,9.0,4.0,875.0,0,0,0.0,1,2,160.0,1.0,0
0,2525.0,125.0,2,2.0,4.0,1.0,0,0,0.0,1,2,180.0,1063.0,0
0,3833.0,4415.0,2,8.0,4.0,125.0,0,0,0.0,0,2,160.0,1.0,0
0,1575.0,375.0,2,8.0,4.0,1.0,0,0,0.0,0,2,120.0,19.0,0
0,2275.0,6165.0,2,6.0,4.0,165.0,0,0,0.0,0,2,220.0,1001.0,0
0,1792.0,1021.0,2,1.0,1.0,0.0,0,0,0.0,0,2,0.0,51.0,0
0,3733.0,25.0,2,3.0,8.0,21.0,0,0,0.0,0,2,260.0,247.0,0
0,1817.0,10.0,1,11.0,8.0,165.0,0,0,0.0,0,2,340.0,1.0,0
0,3175.0,3.0,1,5.0,3.0,0.0,0,0,0.0,0,2,160.0,21.0,0
0,2225.0,125.0,1,1.0,1.0,325.0,0,0,0.0,0,2,280.0,1.0,0
1,3358.0,335.0,1,13.0,4.0,85.0,0,0,0.0,0,2,180.0,1.0,0
1,3183.0,4.0,1,7.0,4.0,4.0,0,0,0.0,0,2,0.0,1.0,0
1,2675.0,45.0,1,8.0,5.0,25.0,0,0,0.0,0,2,200.0,1211.0,0
1,2075.0,5085.0,1,5.0,4.0,29.0,0,0,0.0,0,2,140.0,185.0,0
1,5183.0,204.0,1,1.0,1.0,15.0,0,0,0.0,0,2,120.0,2.0,0
1,2117.0,25.0,1,8.0,8.0,25.0,0,0,0.0,0,2,280.0,205.0,0
1,2108.0,4125.0,1,3.0,8.0,4.0,0,0,0.0,0,2,140.0,101.0,0
1,4092.0,5.0,1,7.0,4.0,5.0,0,0,0.0,1,2,130.0,1.0,0
1,19.0,175.0,1,8.0,4.0,2335.0,0,0,0.0,1,2,112.0,7.0,0
1,3157.0,4.0,1,3.0,4.0,85.0,0,0,0.0,1,2,411.0,1.0,0
1,3208.0,4.0,1,13.0,4.0,15.0,0,0,0.0,1,2,120.0,1.0,0
