@RELATION myRel

@ATTRIBUTE A1 {0, 1}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {1, 2, 3}
@ATTRIBUTE A5 NUMERIC
@ATTRIBUTE A6 NUMERIC
@ATTRIBUTE A7 NUMERIC
@ATTRIBUTE A8 {0, 1}
@ATTRIBUTE A9 {0, 1}
@ATTRIBUTE A10 NUMERIC
@ATTRIBUTE A11 {0, 1}
@ATTRIBUTE A12 {1, 2, 3}
@ATTRIBUTE A13 NUMERIC
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
1,3157.0,5.0,2,8.0,5.0,835.0,1,0,0.0,1,1,320.0,1.0,0
1,3157.0,4.0,1,3.0,4.0,85.0,0,0,0.0,1,2,411.0,1.0,0
1,295.0,58.0,2,9.0,4.0,29.0,0,1,1.0,0,2,340.0,2804.0,0
1,2525.0,1.0,2,6.0,4.0,5.0,0,0,0.0,0,2,200.0,1.0,0
1,3375.0,275.0,2,3.0,5.0,0.0,0,0,0.0,0,2,180.0,1.0,0
0,1858.0,10.0,2,2.0,4.0,415.0,0,0,0.0,0,2,80.0,43.0,0
0,4817.0,1335.0,2,3.0,7.0,335.0,0,0,0.0,0,2,0.0,121.0,0
0,1608.0,335.0,2,1.0,1.0,0.0,0,1,1.0,0,2,160.0,127.0,0
1,33.0,25.0,1,9.0,4.0,7.0,0,0,0.0,1,2,280.0,1.0,0
1,4158.0,175.0,2,4.0,4.0,21.0,1,0,0.0,0,2,160.0,1.0,0
1,3458.0,0.0,2,8.0,4.0,0.0,0,0,0.0,0,3,184.0,1.0,0
1,20.0,7.0,2,8.0,4.0,5.0,0,0,0.0,0,2,0.0,1.0,0
0,2817.0,585.0,2,6.0,4.0,4.0,0,0,0.0,0,2,260.0,1005.0,0
1,2917.0,35.0,2,9.0,4.0,35.0,1,1,3.0,1,2,329.0,1.0,0
1,34.0,5085.0,1,3.0,5.0,1085.0,0,0,0.0,1,2,480.0,1.0,0
1,3408.0,65.0,2,6.0,4.0,125.0,1,0,0.0,1,2,443.0,1.0,0
0,2858.0,1665.0,2,11.0,4.0,2415.0,1,0,0.0,1,2,440.0,1.0,0
0,2267.0,335.0,2,11.0,4.0,75.0,0,0,0.0,0,1,160.0,1.0,0
1,2517.0,3.0,2,8.0,4.0,125.0,0,1,1.0,0,2,0.0,23.0,0
1,4733.0,65.0,2,8.0,4.0,1.0,0,0,0.0,1,2,0.0,229.0,0
1,195.0,29.0,2,4.0,4.0,29.0,0,0,0.0,0,2,280.0,365.0,0
0,225.0,415.0,2,3.0,4.0,335.0,0,0,0.0,1,1,144.0,1.0,0
1,4483.0,7.0,1,8.0,4.0,1625.0,0,0,0.0,0,2,160.0,3.0,0
1,22.0,79.0,2,9.0,4.0,29.0,0,1,1.0,0,2,420.0,284.0,0
1,1792.0,205.0,2,6.0,4.0,4.0,0,0,0.0,0,2,280.0,751.0,0
1,2475.0,54.0,2,7.0,4.0,1.0,0,0,0.0,1,2,120.0,2.0,0
1,2067.0,529.0,2,11.0,4.0,375.0,1,1,1.0,0,2,160.0,1.0,0
1,1708.0,329.0,2,3.0,4.0,335.0,0,0,0.0,1,2,140.0,3.0,0
1,2375.0,415.0,1,8.0,4.0,4.0,0,1,2.0,0,2,128.0,7.0,0
0,2267.0,7.0,2,8.0,4.0,165.0,0,0,0.0,0,2,160.0,1.0,0
1,1517.0,7.0,2,10.0,4.0,1.0,0,0,0.0,0,2,600.0,1.0,0
1,20.0,11045.0,2,8.0,4.0,2.0,0,0,0.0,1,2,136.0,1.0,0
0,3483.0,125.0,1,3.0,8.0,5.0,0,0,0.0,1,2,160.0,1.0,0
1,2783.0,4.0,1,3.0,8.0,575.0,1,1,2.0,1,2,75.0,1.0,0
1,375.0,175.0,1,8.0,5.0,25.0,1,0,0.0,1,2,164.0,401.0,0
1,3733.0,2665.0,2,13.0,4.0,165.0,0,0,0.0,1,2,0.0,502.0,0
0,3308.0,1625.0,2,2.0,4.0,54.0,0,0,0.0,1,2,0.0,1.0,0
1,34.0,45.0,2,6.0,4.0,1.0,1,0,0.0,1,2,240.0,1.0,0
1,3408.0,25.0,2,8.0,4.0,1.0,0,0,0.0,0,2,460.0,17.0,0
1,3058.0,271.0,1,7.0,4.0,125.0,0,0,0.0,1,1,80.0,1.0,0
1,3075.0,1585.0,2,2.0,4.0,585.0,0,0,0.0,1,1,0.0,1.0,0
1,3358.0,335.0,1,13.0,4.0,85.0,0,0,0.0,0,2,180.0,1.0,0
0,2267.0,75.0,2,8.0,4.0,2.0,0,1,2.0,1,2,200.0,395.0,0
1,3108.0,3085.0,2,8.0,4.0,25.0,0,1,2.0,1,2,160.0,42.0,0
1,235.0,275.0,2,1.0,1.0,45.0,0,0,0.0,0,2,160.0,26.0,0
0,2108.0,5.0,1,1.0,1.0,0.0,0,0,0.0,0,2,0.0,1.0,0
0,1592.0,2875.0,2,11.0,4.0,85.0,0,0,0.0,0,2,120.0,1.0,0
1,1817.0,1025.0,2,8.0,8.0,1085.0,0,0,0.0,0,2,320.0,14.0,0
1,5183.0,3.0,1,1.0,1.0,15.0,0,0,0.0,0,2,180.0,5.0,0
1,1817.0,246.0,2,8.0,7.0,96.0,0,1,2.0,1,2,160.0,588.0,0
1,2617.0,835.0,2,13.0,4.0,1165.0,0,0,0.0,0,2,100.0,1.0,0
1,225.0,125.0,1,4.0,4.0,125.0,0,0,0.0,0,2,200.0,71.0,0
0,2767.0,204.0,2,9.0,4.0,25.0,0,0,0.0,1,2,180.0,51.0,0
1,2358.0,835.0,2,3.0,8.0,85.0,0,0,0.0,1,2,220.0,6.0,0
0,1733.0,95.0,2,6.0,4.0,175.0,0,1,10.0,1,2,0.0,11.0,0
