@RELATION myRel

@ATTRIBUTE A1 {0, 1}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {1, 2, 3}
@ATTRIBUTE A5 NUMERIC
@ATTRIBUTE A6 NUMERIC
@ATTRIBUTE A7 NUMERIC
@ATTRIBUTE A8 {0, 1}
@ATTRIBUTE A9 {0, 1}
@ATTRIBUTE A10 NUMERIC
@ATTRIBUTE A11 {0, 1}
@ATTRIBUTE A12 {1, 2, 3}
@ATTRIBUTE A13 NUMERIC
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
1,2325.0,12625.0,2,8.0,4.0,125.0,0,1,2.0,0,2,0.0,5553.0,0
1,3157.0,375.0,2,2.0,4.0,875.0,1,0,0.0,1,1,928.0,1.0,0
1,7483.0,19.0,1,1.0,1.0,4.0,0,1,2.0,0,2,0.0,352.0,0
0,5683.0,425.0,1,1.0,1.0,5.0,0,0,0.0,1,2,0.0,5.0,0
1,4425.0,11.0,1,2.0,4.0,15.0,1,0,0.0,0,1,0.0,1.0,0
0,3375.0,75.0,2,4.0,5.0,1.0,1,1,3.0,1,2,212.0,1.0,0
1,5183.0,3.0,1,1.0,1.0,15.0,0,0,0.0,0,2,180.0,5.0,0
1,2783.0,4.0,1,3.0,8.0,575.0,1,1,2.0,1,2,75.0,1.0,0
0,2192.0,11665.0,2,4.0,8.0,85.0,0,0,0.0,0,2,320.0,6.0,0
1,5233.0,1375.0,1,8.0,8.0,946.0,1,0,0.0,1,2,200.0,101.0,0
1,3225.0,14.0,1,1.0,1.0,0.0,0,1,2.0,0,2,160.0,2.0,0
0,3317.0,225.0,1,13.0,4.0,35.0,0,0,0.0,1,2,200.0,142.0,0
0,2492.0,125.0,2,1.0,1.0,0.0,1,0,0.0,0,2,80.0,1.0,0
1,2067.0,835.0,1,8.0,4.0,2.0,0,0,0.0,1,1,240.0,1.0,0
0,245.0,104.0,1,1.0,1.0,5.0,1,1,3.0,0,2,180.0,148.0,0
1,3033.0,5.0,2,2.0,8.0,85.0,0,0,0.0,1,1,252.0,1.0,0
1,1625.0,835.0,2,7.0,4.0,85.0,1,0,0.0,0,1,200.0,1.0,0
0,2858.0,354.0,2,3.0,5.0,5.0,1,0,0.0,1,2,171.0,1.0,0
1,1842.0,10415.0,1,6.0,4.0,125.0,1,0,0.0,0,2,120.0,376.0,0
0,2358.0,115.0,1,4.0,8.0,3.0,0,0,0.0,1,2,20.0,17.0,0
1,5183.0,204.0,1,1.0,1.0,15.0,0,0,0.0,0,2,120.0,2.0,0
0,3025.0,55.0,2,4.0,4.0,55.0,0,0,0.0,1,1,100.0,1.0,0
1,6333.0,54.0,2,8.0,4.0,585.0,1,1,3.0,1,2,180.0,1.0,0
0,2108.0,5.0,1,1.0,1.0,0.0,0,0,0.0,0,2,0.0,1.0,0
1,235.0,3165.0,1,4.0,4.0,415.0,0,1,1.0,1,2,280.0,81.0,0
