@RELATION myRel

@ATTRIBUTE A1 {0, 1}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {1, 2, 3}
@ATTRIBUTE A5 NUMERIC
@ATTRIBUTE A6 NUMERIC
@ATTRIBUTE A7 NUMERIC
@ATTRIBUTE A8 {0, 1}
@ATTRIBUTE A9 {0, 1}
@ATTRIBUTE A10 NUMERIC
@ATTRIBUTE A11 {0, 1}
@ATTRIBUTE A12 {1, 2, 3}
@ATTRIBUTE A13 NUMERIC
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
1,2183.0,154.0,2,4.0,4.0,85.0,0,0,0.0,1,2,356.0,1.0,0
1,4092.0,835.0,2,1.0,1.0,0.0,1,0,0.0,0,2,130.0,2.0,0
1,4275.0,4085.0,2,6.0,4.0,4.0,0,0,0.0,0,2,108.0,101.0,0
1,3892.0,175.0,2,4.0,4.0,5.0,0,0,0.0,1,2,300.0,3.0,0
0,225.0,11.0,1,11.0,4.0,3.0,1,0,0.0,1,2,268.0,1.0,0
0,1917.0,5415.0,2,3.0,8.0,29.0,0,0,0.0,0,2,80.0,485.0,0
1,2767.0,75.0,2,11.0,8.0,165.0,0,0,0.0,1,2,220.0,252.0,0
0,4083.0,35.0,2,3.0,5.0,5.0,0,0,0.0,0,1,1160.0,1.0,0
1,2458.0,125.0,2,8.0,4.0,25.0,0,0,0.0,0,2,110.0,1.0,0
0,3025.0,55.0,2,4.0,4.0,55.0,0,0,0.0,1,1,100.0,1.0,0
1,2008.0,25.0,2,11.0,4.0,125.0,0,0,0.0,0,2,200.0,1.0,0
1,1942.0,725.0,2,7.0,4.0,4.0,0,1,1.0,0,2,100.0,2.0,0
0,2492.0,125.0,2,1.0,1.0,0.0,1,0,0.0,0,2,80.0,1.0,0
0,295.0,1085.0,1,14.0,4.0,1.0,0,0,0.0,0,2,280.0,14.0,0
1,3575.0,2415.0,2,9.0,4.0,125.0,0,1,2.0,0,2,220.0,2.0,0
1,235.0,3165.0,1,4.0,4.0,415.0,0,1,1.0,1,2,280.0,81.0,0
1,3367.0,2165.0,2,8.0,4.0,15.0,0,0,0.0,0,3,120.0,1.0,0
0,3308.0,1625.0,2,2.0,4.0,54.0,0,0,0.0,1,2,0.0,1.0,0
1,1933.0,10915.0,2,8.0,5.0,585.0,0,1,2.0,1,2,200.0,8.0,0
1,1708.0,85.0,1,8.0,4.0,4.0,0,0,0.0,0,2,140.0,723.0,0
1,225.0,115.0,1,7.0,4.0,15.0,0,0,0.0,1,2,0.0,4001.0,0
1,2942.0,125.0,2,8.0,8.0,25.0,0,1,2.0,1,2,400.0,109.0,0
0,16.0,165.0,2,6.0,4.0,1.0,0,1,2.0,1,2,320.0,2.0,0
1,1858.0,1029.0,2,1.0,1.0,415.0,0,0,0.0,0,2,80.0,1.0,0
0,2767.0,15.0,2,7.0,4.0,2.0,1,0,0.0,0,1,368.0,1.0,0
1,31.0,2085.0,2,8.0,4.0,85.0,0,0,0.0,0,2,300.0,1.0,0
1,3442.0,1335.0,2,3.0,5.0,125.0,0,0,0.0,1,2,440.0,4501.0,0
1,1517.0,7.0,2,10.0,4.0,1.0,0,0,0.0,0,2,600.0,1.0,0
0,49.0,15.0,2,5.0,3.0,0.0,1,0,0.0,1,2,100.0,28.0,0
1,195.0,9585.0,2,6.0,4.0,79.0,0,0,0.0,0,2,80.0,351.0,0
1,3992.0,5.0,2,3.0,5.0,21.0,0,0,0.0,0,2,550.0,1.0,0
1,20.0,0.0,2,2.0,4.0,5.0,0,0,0.0,0,2,144.0,1.0,0
1,245.0,13335.0,1,6.0,4.0,4.0,0,0,0.0,1,2,120.0,476.0,0
0,1917.0,585.0,1,6.0,4.0,585.0,1,0,0.0,1,2,160.0,1.0,0
0,2433.0,25.0,1,3.0,5.0,45.0,0,0,0.0,0,2,200.0,457.0,0
0,2458.0,67.0,2,6.0,8.0,175.0,1,0,0.0,0,2,400.0,1.0,0
0,5192.0,65.0,2,3.0,5.0,3085.0,0,0,0.0,1,2,73.0,1.0,0
0,3317.0,225.0,1,13.0,4.0,35.0,0,0,0.0,1,2,200.0,142.0,0
1,2617.0,835.0,2,13.0,4.0,1165.0,0,0,0.0,0,2,100.0,1.0,0
1,4917.0,229.0,2,1.0,1.0,29.0,0,0,0.0,0,2,200.0,4.0,0
0,4033.0,8125.0,1,4.0,4.0,165.0,0,1,2.0,0,2,184.0,19.0,0
0,3483.0,125.0,1,3.0,8.0,5.0,0,0,0.0,1,2,160.0,1.0,0
0,1817.0,10.0,1,11.0,8.0,165.0,0,0,0.0,0,2,340.0,1.0,0
0,2658.0,254.0,1,1.0,1.0,0.0,0,0,0.0,1,2,180.0,61.0,0
1,2525.0,1.0,2,6.0,4.0,5.0,0,0,0.0,0,2,200.0,1.0,0
1,1817.0,246.0,2,8.0,7.0,96.0,0,1,2.0,1,2,160.0,588.0,0
1,1758.0,10.0,2,9.0,8.0,165.0,0,1,1.0,0,2,120.0,2.0,0
0,2108.0,5.0,1,1.0,1.0,0.0,0,0,0.0,0,2,0.0,1.0,0
0,1958.0,665.0,1,8.0,4.0,1.0,0,1,1.0,0,2,2000.0,3.0,0
1,2358.0,179.0,2,8.0,4.0,54.0,0,0,0.0,1,2,136.0,2.0,0
1,3058.0,271.0,1,7.0,4.0,125.0,0,0,0.0,1,1,80.0,1.0,0
1,3717.0,4.0,2,8.0,5.0,5.0,1,0,0.0,1,1,280.0,1.0,0
1,3525.0,165.0,1,8.0,4.0,4.0,1,0,0.0,0,2,80.0,1.0,0
1,2267.0,75.0,2,3.0,4.0,1585.0,0,1,1.0,1,2,400.0,10.0,0
1,3375.0,275.0,2,3.0,5.0,0.0,0,0,0.0,0,2,180.0,1.0,0
1,2567.0,29.0,1,8.0,4.0,15.0,0,0,0.0,1,2,160.0,1.0,0
0,4533.0,1.0,2,11.0,4.0,125.0,0,0,0.0,1,2,263.0,1.0,0
0,2358.0,585.0,1,1.0,1.0,125.0,0,0,0.0,0,2,120.0,88.0,0
0,3175.0,3.0,1,5.0,3.0,0.0,0,0,0.0,0,2,160.0,21.0,0
0,1592.0,2875.0,2,11.0,4.0,85.0,0,0,0.0,0,2,120.0,1.0,0
1,2683.0,54.0,2,4.0,1.0,0.0,0,0,0.0,0,2,100.0,1.0,0
