@RELATION myRel

@ATTRIBUTE A1 {b, a}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {u, y, l}
@ATTRIBUTE A5 {g, p, gg}
@ATTRIBUTE A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@ATTRIBUTE A7 {v, h, bb, ff, j, z, o, dd, n}
@ATTRIBUTE A8 NUMERIC
@ATTRIBUTE A9 {t, f}
@ATTRIBUTE A10 {t, f}
@ATTRIBUTE A11 NUMERIC
@ATTRIBUTE A12 {f, t}
@ATTRIBUTE A13 {g, s, p}
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE A15 NUMERIC
@ATTRIBUTE Class {positive, negative}

@DATA
b,1625.0,0.0,y,p,aa,v,25.0,f,f,0.0,f,g,60.0,0.0,negative
b,2392.0,585.0,y,p,cc,h,125.0,f,f,0.0,f,g,240.0,1.0,negative
b,2108.0,4125.0,y,p,i,h,4.0,f,f,0.0,f,g,140.0,100.0,negative
a,2358.0,585.0,y,p,ff,ff,125.0,f,f,0.0,f,g,120.0,87.0,negative
b,2217.0,585.0,y,p,ff,ff,0.0,f,f,0.0,f,g,100.0,0.0,negative
b,3225.0,14.0,y,p,ff,ff,0.0,f,t,2.0,f,g,160.0,1.0,negative
b,3125.0,1125.0,u,g,ff,ff,0.0,f,t,1.0,f,g,96.0,19.0,negative
a,3517.0,375.0,u,g,ff,ff,0.0,f,t,6.0,f,g,0.0,200.0,negative
a,2733.0,1665.0,u,g,ff,ff,0.0,f,f,0.0,f,g,340.0,1.0,negative
b,4917.0,229.0,u,g,ff,ff,29.0,f,f,0.0,f,g,200.0,3.0,negative
a,2458.0,67.0,u,g,aa,h,175.0,t,f,0.0,f,g,400.0,0.0,negative
a,4158.0,104.0,u,g,aa,v,665.0,f,f,0.0,f,g,240.0,237.0,negative
a,195.0,165.0,u,g,q,v,4.0,f,f,0.0,t,g,380.0,0.0,negative
a,2358.0,83.0,u,g,q,v,415.0,f,t,1.0,t,g,200.0,11.0,negative
a,2758.0,3.0,u,g,m,v,279.0,f,t,1.0,t,g,280.0,10.0,negative
a,1692.0,5.0,u,g,i,v,165.0,f,t,6.0,t,g,240.0,35.0,negative
b,2783.0,15.0,u,g,w,v,225.0,f,t,1.0,t,g,100.0,3.0,negative
b,295.0,58.0,u,g,w,v,29.0,f,t,1.0,f,g,340.0,2803.0,negative
b,2525.0,1.0,u,g,aa,v,5.0,f,f,0.0,f,g,200.0,0.0,negative
b,20.0,7.0,u,g,c,v,5.0,f,f,0.0,f,g,0.0,0.0,negative
b,2983.0,35.0,u,g,c,v,165.0,f,f,0.0,f,g,216.0,0.0,negative
a,3833.0,4415.0,u,g,c,v,125.0,f,f,0.0,f,g,160.0,0.0,negative
a,1858.0,10.0,u,g,d,v,415.0,f,f,0.0,f,g,80.0,42.0,negative
b,4117.0,1335.0,u,g,d,v,165.0,f,f,0.0,f,g,168.0,0.0,negative
b,3233.0,25.0,u,g,c,v,125.0,f,f,0.0,t,g,280.0,0.0,negative
b,1633.0,4085.0,u,g,i,h,415.0,f,f,0.0,t,g,120.0,0.0,negative
b,1725.0,3.0,u,g,k,v,4.0,f,f,0.0,t,g,160.0,40.0,negative
b,1708.0,329.0,u,g,i,v,335.0,f,f,0.0,t,g,140.0,2.0,negative
b,2667.0,14585.0,u,g,i,bb,0.0,f,f,0.0,t,g,178.0,0.0,negative
b,4808.0,375.0,u,g,i,bb,1.0,f,f,0.0,f,g,100.0,2.0,negative
b,3142.0,155.0,u,g,c,v,5.0,t,f,0.0,f,g,120.0,0.0,negative
b,3275.0,2335.0,u,g,d,h,575.0,f,f,0.0,t,g,292.0,0.0,negative
a,3025.0,55.0,u,g,k,v,55.0,f,f,0.0,t,s,100.0,0.0,negative
b,2292.0,17.0,u,g,m,v,85.0,f,f,0.0,f,s,0.0,0.0,negative
b,1825.0,165.0,u,g,d,v,25.0,f,f,0.0,t,s,280.0,0.0,negative
b,3733.0,2665.0,u,g,cc,v,165.0,f,f,0.0,t,g,0.0,501.0,negative
b,365.0,425.0,u,g,q,v,35.0,f,f,0.0,f,g,454.0,50.0,negative
b,1742.0,65.0,u,g,i,v,125.0,f,f,0.0,f,g,60.0,100.0,negative
b,4717.0,5835.0,u,g,w,v,55.0,f,f,0.0,f,g,465.0,150.0,negative
a,1917.0,5415.0,u,g,i,h,29.0,f,f,0.0,f,g,80.0,484.0,negative
a,5708.0,335.0,u,g,i,bb,1.0,t,f,0.0,t,g,252.0,2197.0,negative
b,3408.0,65.0,u,g,aa,v,125.0,t,f,0.0,t,g,443.0,0.0,negative
b,6333.0,54.0,u,g,c,v,585.0,t,t,3.0,t,g,180.0,0.0,negative
b,2567.0,325.0,u,g,c,h,229.0,f,t,1.0,t,g,416.0,21.0,negative
b,3842.0,705.0,u,g,c,v,375.0,f,t,2.0,f,g,225.0,500.0,negative
a,2542.0,1125.0,u,g,q,v,129.0,t,t,2.0,f,g,200.0,0.0,negative
b,25.0,12.0,u,g,k,v,225.0,t,t,2.0,t,g,120.0,5.0,negative
b,1758.0,10.0,u,g,w,h,165.0,f,t,1.0,f,g,120.0,1.0,negative
a,2267.0,335.0,u,g,q,v,75.0,f,f,0.0,f,s,160.0,0.0,negative
b,2875.0,1165.0,u,g,k,v,5.0,t,f,0.0,f,s,280.0,0.0,negative
b,4058.0,15.0,u,g,i,bb,0.0,f,f,0.0,f,s,300.0,0.0,negative
b,225.0,125.0,y,p,k,v,125.0,f,f,0.0,f,g,200.0,70.0,negative
b,2292.0,3165.0,y,p,c,v,165.0,f,f,0.0,f,g,160.0,1058.0,negative
b,3642.0,75.0,y,p,d,v,585.0,f,f,0.0,f,g,240.0,3.0,negative
b,3058.0,271.0,y,p,m,v,125.0,f,f,0.0,t,s,80.0,0.0,negative
b,3158.0,75.0,y,p,aa,v,35.0,f,f,0.0,t,g,320.0,0.0,negative
b,2067.0,835.0,y,p,c,v,2.0,f,f,0.0,t,s,240.0,0.0,negative
b,1942.0,15.0,y,p,cc,v,2.0,t,f,0.0,t,g,100.0,20.0,negative
b,375.0,835.0,u,g,e,v,4.0,f,f,0.0,f,g,120.0,5.0,negative
b,3367.0,2165.0,u,g,c,v,15.0,f,f,0.0,f,p,120.0,0.0,negative
a,2858.0,1665.0,u,g,q,v,2415.0,t,f,0.0,t,g,440.0,0.0,negative
b,2308.0,25.0,u,g,ff,ff,85.0,f,f,0.0,t,g,100.0,4208.0,negative
a,2475.0,13665.0,u,g,q,h,15.0,f,f,0.0,f,g,280.0,1.0,negative
b,1967.0,10.0,y,p,k,h,835.0,t,f,0.0,t,g,140.0,0.0,negative
b,3008.0,104.0,y,p,i,bb,5.0,t,t,10.0,t,g,132.0,28.0,negative
a,1958.0,665.0,y,p,c,v,1.0,f,t,1.0,f,g,2000.0,2.0,negative
a,25.0,11.0,y,p,aa,v,45.0,t,f,0.0,f,g,120.0,0.0,negative
a,3483.0,125.0,y,p,i,h,5.0,f,f,0.0,t,g,160.0,0.0,negative
b,2675.0,45.0,y,p,c,bb,25.0,f,f,0.0,f,g,200.0,1210.0,negative
a,3392.0,1585.0,y,p,ff,ff,0.0,t,f,0.0,f,g,320.0,0.0,negative
b,2758.0,325.0,y,p,q,h,5085.0,f,t,2.0,t,g,369.0,1.0,negative
b,3417.0,154.0,u,g,cc,v,154.0,t,t,1.0,t,g,520.0,50000.0,positive
b,595.0,275.0,u,g,w,v,175.0,t,t,5.0,t,g,60.0,58.0,positive
b,2417.0,875.0,u,g,q,v,4625.0,t,t,2.0,t,g,520.0,2000.0,positive
b,2825.0,875.0,u,g,m,v,96.0,t,t,3.0,t,g,396.0,0.0,positive
b,485.0,425.0,u,g,m,v,125.0,t,f,0.0,t,g,225.0,0.0,positive
b,2833.0,5.0,u,g,w,v,11.0,t,f,0.0,t,g,70.0,0.0,positive
b,4217.0,504.0,u,g,q,h,1275.0,t,f,0.0,t,g,92.0,0.0,positive
b,5142.0,4.0,u,g,x,h,4.0,t,f,0.0,f,g,0.0,3000.0,positive
b,2967.0,1415.0,u,g,w,h,75.0,t,t,1.0,f,g,240.0,100.0,positive
b,4825.0,25085.0,u,g,w,v,175.0,t,t,3.0,f,g,120.0,14.0,positive
b,2258.0,1004.0,u,g,x,v,4.0,t,t,9.0,f,g,60.0,396.0,positive
b,3358.0,275.0,u,g,m,v,425.0,t,t,6.0,f,g,204.0,0.0,positive
b,4058.0,5.0,u,g,c,v,5.0,t,t,7.0,f,g,0.0,3065.0,positive
b,25.0,1125.0,u,g,c,v,25.0,t,t,17.0,f,g,200.0,1208.0,positive
b,2308.0,25.0,u,g,c,v,1085.0,t,t,11.0,t,g,60.0,2184.0,positive
b,2617.0,25.0,u,g,i,bb,0.0,t,f,0.0,t,g,0.0,0.0,positive
a,2875.0,375.0,u,g,c,v,1085.0,t,t,1.0,t,g,371.0,0.0,positive
a,4117.0,65.0,u,g,q,v,5.0,t,t,3.0,t,g,145.0,0.0,positive
a,2067.0,3.0,u,g,q,v,165.0,t,t,3.0,f,g,100.0,6.0,positive
a,2067.0,1835.0,u,g,q,v,2085.0,t,t,5.0,f,g,220.0,2503.0,positive
a,36.0,1.0,u,g,c,v,2.0,t,t,11.0,f,g,0.0,456.0,positive
a,5008.0,1254.0,u,g,aa,v,229.0,t,t,3.0,t,g,156.0,0.0,positive
b,525.0,65.0,u,g,k,v,629.0,t,t,15.0,f,g,0.0,11202.0,positive
b,2725.0,1665.0,u,g,cc,h,5085.0,t,t,9.0,f,g,399.0,827.0,positive
b,4875.0,85.0,u,g,c,h,125.0,t,t,9.0,f,g,181.0,1655.0,positive
b,6542.0,11.0,u,g,e,z,20.0,t,t,7.0,t,g,22.0,0.0,positive
b,335.0,175.0,u,g,x,h,45.0,t,t,4.0,t,g,253.0,857.0,positive
a,4083.0,10.0,u,g,q,h,175.0,t,f,0.0,f,g,29.0,837.0,positive
a,2475.0,3.0,u,g,q,h,1835.0,t,t,19.0,f,g,0.0,500.0,positive
a,3125.0,375.0,u,g,cc,h,625.0,t,t,9.0,t,g,181.0,0.0,positive
a,1583.0,585.0,u,g,c,h,15.0,t,t,2.0,f,g,100.0,0.0,positive
a,285.0,304.0,y,p,x,h,254.0,t,t,1.0,f,g,70.0,0.0,positive
b,2667.0,175.0,y,p,c,v,1.0,t,t,5.0,t,g,160.0,5777.0,positive
b,2775.0,585.0,y,p,cc,v,25.0,t,t,2.0,f,g,260.0,500.0,positive
b,21.0,479.0,y,p,w,v,225.0,t,t,1.0,t,g,80.0,300.0,positive
b,3317.0,304.0,y,p,c,h,204.0,t,t,1.0,t,g,180.0,18027.0,positive
b,3442.0,425.0,u,g,i,bb,325.0,t,t,2.0,f,g,274.0,610.0,positive
a,6867.0,15.0,u,g,e,z,0.0,t,t,14.0,f,g,0.0,3376.0,positive
b,7342.0,1775.0,u,g,ff,ff,0.0,t,f,0.0,t,g,0.0,0.0,positive
b,45.0,85.0,u,g,cc,h,14.0,t,t,1.0,t,g,88.0,2000.0,positive
b,4142.0,5.0,u,g,q,h,5.0,t,t,6.0,t,g,470.0,0.0,positive
b,4767.0,29.0,u,g,c,bb,15.0,t,t,20.0,f,g,0.0,15000.0,positive
b,2017.0,817.0,u,g,aa,v,196.0,t,t,14.0,f,g,60.0,158.0,positive
b,1808.0,55.0,u,g,k,v,5.0,t,f,0.0,f,g,80.0,0.0,positive
b,4808.0,604.0,u,g,k,v,4.0,f,f,0.0,f,g,0.0,2690.0,positive
a,1883.0,954.0,u,g,aa,v,85.0,t,f,0.0,f,g,100.0,0.0,positive
a,3367.0,375.0,u,g,cc,v,375.0,f,f,0.0,f,g,300.0,44.0,positive
b,2575.0,75.0,u,g,c,bb,25.0,t,f,0.0,f,g,349.0,23.0,positive
b,3317.0,104.0,u,g,r,h,65.0,t,f,0.0,t,g,164.0,31285.0,positive
b,2208.0,83.0,u,g,c,h,2165.0,f,f,0.0,t,g,128.0,0.0,positive
b,375.0,1125.0,y,p,d,v,15.0,f,f,0.0,t,g,431.0,0.0,positive
b,32.0,175.0,y,p,e,h,4.0,t,f,0.0,t,g,393.0,0.0,positive
a,2508.0,254.0,y,p,aa,v,25.0,t,f,0.0,t,g,370.0,0.0,positive
a,46.0,4.0,u,g,j,j,0.0,t,f,0.0,f,g,100.0,960.0,positive
b,4175.0,96.0,u,g,x,v,25.0,t,f,0.0,f,g,510.0,600.0,positive
a,2842.0,35.0,u,g,w,v,835.0,t,f,0.0,f,s,280.0,0.0,positive
b,2567.0,125.0,u,g,cc,v,121.0,t,t,67.0,t,g,140.0,258.0,positive
b,5442.0,5.0,y,p,k,h,396.0,t,f,0.0,f,g,180.0,314.0,positive
b,415.0,154.0,u,g,i,bb,35.0,f,f,0.0,f,g,216.0,0.0,positive
