@RELATION myRel

@ATTRIBUTE A1 {b, a}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {u, y, l}
@ATTRIBUTE A5 {g, p, gg}
@ATTRIBUTE A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@ATTRIBUTE A7 {v, h, bb, ff, j, z, o, dd, n}
@ATTRIBUTE A8 NUMERIC
@ATTRIBUTE A9 {t, f}
@ATTRIBUTE A10 {t, f}
@ATTRIBUTE A11 NUMERIC
@ATTRIBUTE A12 {f, t}
@ATTRIBUTE A13 {g, s, p}
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE A15 NUMERIC
@ATTRIBUTE Class {positive, negative}

@DATA
a,245.0,2415.0,y,p,c,v,0.0,f,f,0.0,f,g,120.0,0.0,negative
b,2867.0,145.0,u,g,d,v,125.0,f,f,0.0,f,g,0.0,286.0,negative
b,2983.0,204.0,y,p,x,h,4.0,f,f,0.0,f,g,128.0,1.0,negative
b,3417.0,275.0,u,g,i,bb,25.0,f,f,0.0,t,g,232.0,200.0,negative
b,3233.0,25.0,u,g,c,v,125.0,f,f,0.0,t,g,280.0,0.0,negative
b,4092.0,5.0,y,p,m,v,5.0,f,f,0.0,t,g,130.0,0.0,negative
a,2767.0,15.0,u,g,m,v,2.0,t,f,0.0,f,s,368.0,0.0,negative
b,3617.0,55.0,u,g,i,bb,5.0,f,f,0.0,f,g,210.0,687.0,negative
a,2225.0,125.0,y,p,ff,ff,325.0,f,f,0.0,f,g,280.0,0.0,negative
a,5192.0,65.0,u,g,i,bb,3085.0,f,f,0.0,t,g,73.0,0.0,negative
b,3125.0,1125.0,u,g,ff,ff,0.0,f,t,1.0,f,g,96.0,19.0,negative
b,3108.0,15.0,y,p,w,v,4.0,f,f,0.0,f,s,160.0,0.0,negative
b,31.0,2085.0,u,g,c,v,85.0,f,f,0.0,f,g,300.0,0.0,negative
b,2267.0,75.0,u,g,i,v,1585.0,f,t,1.0,t,g,400.0,9.0,negative
a,2267.0,335.0,u,g,q,v,75.0,f,f,0.0,f,s,160.0,0.0,negative
b,6275.0,7.0,u,g,e,z,0.0,f,f,0.0,f,g,0.0,12.0,negative
b,3558.0,75.0,u,g,k,v,15.0,f,f,0.0,t,g,231.0,0.0,negative
b,5483.0,155.0,u,g,e,z,0.0,t,t,20.0,f,g,152.0,130.0,negative
