@RELATION myRel

@ATTRIBUTE A1 {b, a}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {u, y, l}
@ATTRIBUTE A5 {g, p, gg}
@ATTRIBUTE A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@ATTRIBUTE A7 {v, h, bb, ff, j, z, o, dd, n}
@ATTRIBUTE A8 NUMERIC
@ATTRIBUTE A9 {t, f}
@ATTRIBUTE A10 {t, f}
@ATTRIBUTE A11 NUMERIC
@ATTRIBUTE A12 {f, t}
@ATTRIBUTE A13 {g, s, p}
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE A15 NUMERIC
@ATTRIBUTE Class {positive, negative}

@DATA
a,5575.0,708.0,u,g,k,h,675.0,t,t,3.0,t,g,100.0,50.0,negative
b,4425.0,11.0,y,p,d,v,15.0,t,f,0.0,f,s,0.0,0.0,negative
a,5192.0,65.0,u,g,i,bb,3085.0,f,f,0.0,t,g,73.0,0.0,negative
a,2042.0,105.0,y,p,x,h,0.0,f,f,0.0,t,g,154.0,32.0,negative
a,23.0,1835.0,u,g,j,j,0.0,f,t,1.0,f,g,200.0,53.0,negative
a,2525.0,135.0,y,p,ff,ff,2.0,f,t,1.0,t,g,200.0,1.0,negative
a,45.0,4585.0,u,g,k,h,1.0,f,f,0.0,t,s,240.0,0.0,negative
b,375.0,175.0,y,p,c,bb,25.0,t,f,0.0,t,g,164.0,400.0,negative
a,3517.0,375.0,u,g,ff,ff,0.0,f,t,6.0,f,g,0.0,200.0,negative
b,34.0,5085.0,y,p,i,bb,1085.0,f,f,0.0,t,g,480.0,0.0,negative
b,4325.0,2521.0,u,g,q,h,21.0,t,t,1.0,f,g,760.0,90.0,negative
a,1917.0,585.0,y,p,aa,v,585.0,t,f,0.0,t,g,160.0,0.0,negative
b,2217.0,12125.0,u,g,c,v,3335.0,f,t,2.0,t,g,180.0,173.0,negative
a,245.0,104.0,y,p,ff,ff,5.0,t,t,3.0,f,g,180.0,147.0,negative
a,285.0,1.0,u,g,q,v,1.0,t,t,2.0,t,g,167.0,500.0,negative
a,1767.0,0.0,y,p,j,ff,0.0,f,f,0.0,f,g,86.0,0.0,negative
b,3717.0,4.0,u,g,c,bb,5.0,t,f,0.0,t,s,280.0,0.0,negative
b,2567.0,221.0,y,p,aa,v,4.0,t,f,0.0,f,g,188.0,0.0,negative
a,3858.0,5.0,u,g,cc,v,135.0,t,f,0.0,t,g,980.0,0.0,negative
b,3242.0,2165.0,y,p,k,ff,0.0,f,f,0.0,f,g,120.0,0.0,negative
a,32.0,6.0,u,g,d,v,125.0,f,f,0.0,f,g,272.0,0.0,negative
b,225.0,115.0,y,p,m,v,15.0,f,f,0.0,t,g,0.0,4000.0,negative
a,2717.0,125.0,u,g,ff,ff,0.0,f,t,1.0,f,g,92.0,300.0,negative
a,2958.0,175.0,y,p,k,v,125.0,f,f,0.0,t,g,280.0,0.0,negative
b,25.0,12.0,u,g,k,v,225.0,t,t,2.0,t,g,120.0,5.0,negative
a,2358.0,585.0,y,p,ff,ff,125.0,f,f,0.0,f,g,120.0,87.0,negative
b,3633.0,379.0,u,g,w,v,1165.0,t,f,0.0,t,g,200.0,0.0,negative
a,3325.0,3.0,y,p,aa,v,2.0,f,f,0.0,f,g,180.0,0.0,negative
a,2858.0,1665.0,u,g,q,v,2415.0,t,f,0.0,t,g,440.0,0.0,negative
b,2217.0,585.0,y,p,ff,ff,0.0,f,f,0.0,f,g,100.0,0.0,negative
a,2358.0,83.0,u,g,q,v,415.0,f,t,1.0,t,g,200.0,11.0,negative
b,20.0,125.0,y,p,k,v,125.0,f,f,0.0,f,g,140.0,4.0,negative
b,3425.0,175.0,u,g,w,bb,25.0,t,f,0.0,t,g,163.0,0.0,negative
b,4117.0,125.0,y,p,w,v,25.0,f,f,0.0,f,g,0.0,195.0,negative
a,5025.0,835.0,u,g,aa,v,5.0,f,f,0.0,t,g,240.0,117.0,negative
