@RELATION myRel

@ATTRIBUTE A1 {b, a}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {u, y, l}
@ATTRIBUTE A5 {g, p, gg}
@ATTRIBUTE A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@ATTRIBUTE A7 {v, h, bb, ff, j, z, o, dd, n}
@ATTRIBUTE A8 NUMERIC
@ATTRIBUTE A9 {t, f}
@ATTRIBUTE A10 {t, f}
@ATTRIBUTE A11 NUMERIC
@ATTRIBUTE A12 {f, t}
@ATTRIBUTE A13 {g, s, p}
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE A15 NUMERIC
@ATTRIBUTE Class {positive, negative}

@DATA
b,2983.0,35.0,u,g,c,v,165.0,f,f,0.0,f,g,216.0,0.0,negative
b,2342.0,585.0,u,g,c,h,85.0,t,f,0.0,f,g,180.0,0.0,negative
b,1967.0,10.0,y,p,k,h,835.0,t,f,0.0,t,g,140.0,0.0,negative
b,2108.0,10085.0,y,p,e,h,125.0,f,f,0.0,f,g,260.0,0.0,negative
a,3875.0,15.0,u,g,ff,ff,0.0,f,f,0.0,f,g,76.0,0.0,negative
b,2558.0,335.0,u,g,k,h,35.0,f,f,0.0,t,g,340.0,0.0,negative
b,34.0,55.0,y,p,c,v,15.0,f,f,0.0,t,g,60.0,0.0,negative
a,3517.0,375.0,u,g,ff,ff,0.0,f,t,6.0,f,g,0.0,200.0,negative
b,4275.0,4085.0,u,g,aa,v,4.0,f,f,0.0,f,g,108.0,100.0,negative
b,2875.0,15.0,y,p,c,v,15.0,t,f,0.0,t,g,0.0,225.0,negative
b,2475.0,54.0,u,g,m,v,1.0,f,f,0.0,t,g,120.0,1.0,negative
a,1792.0,54.0,u,g,c,v,175.0,f,t,1.0,t,g,80.0,5.0,negative
a,2717.0,125.0,u,g,ff,ff,0.0,f,t,1.0,f,g,92.0,300.0,negative
a,2225.0,125.0,y,p,ff,ff,325.0,f,f,0.0,f,g,280.0,0.0,negative
b,4917.0,229.0,u,g,ff,ff,29.0,f,f,0.0,f,g,200.0,3.0,negative
b,2358.0,835.0,u,g,i,h,85.0,f,f,0.0,t,g,220.0,5.0,negative
