@RELATION myRel

@ATTRIBUTE StatusAccount {A11, A12, A14, A13}
@ATTRIBUTE DurationMonth NUMERIC
@ATTRIBUTE CreditHistory {A34, A32, A33, A30, A31}
@ATTRIBUTE Purpose {A43, A46, A42, A40, A41, A49, A44, A45, A410, A48}
@ATTRIBUTE CreditAmount NUMERIC
@ATTRIBUTE SavingsAccount {A65, A61, A63, A64, A62}
@ATTRIBUTE EmploymentSince {A75, A73, A74, A71, A72}
@ATTRIBUTE InstallmentRate NUMERIC
@ATTRIBUTE StatusAndSex {A93, A92, A91, A94}
@ATTRIBUTE Guarantors {A101, A103, A102}
@ATTRIBUTE ResidenceSince NUMERIC
@ATTRIBUTE Property {A121, A122, A124, A123}
@ATTRIBUTE Age NUMERIC
@ATTRIBUTE InstallmentPlans {A143, A141, A142}
@ATTRIBUTE Housing {A152, A153, A151}
@ATTRIBUTE NCredits NUMERIC
@ATTRIBUTE Job {A173, A172, A174, A171}
@ATTRIBUTE NPeopleMain NUMERIC
@ATTRIBUTE Telephone {A192, A191}
@ATTRIBUTE ForeignWorker {A201, A202}
@ATTRIBUTE Customer {1, 2}

@DATA
A14,9.0,A34,A40,1224.0,A61,A73,3.0,A93,A101,1.0,A121,30.0,A143,A152,2.0,A173,1.0,A191,A201,1
A14,12.0,A32,A43,776.0,A61,A73,4.0,A94,A101,2.0,A121,28.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,48.0,A33,A410,7582.0,A62,A71,2.0,A93,A101,4.0,A124,31.0,A143,A153,1.0,A174,1.0,A192,A201,1
A12,14.0,A32,A49,1410.0,A63,A75,1.0,A94,A101,2.0,A121,35.0,A143,A152,1.0,A173,1.0,A192,A201,1
A14,24.0,A32,A40,7393.0,A61,A73,1.0,A93,A101,4.0,A122,43.0,A143,A152,1.0,A172,2.0,A191,A201,1
A11,6.0,A34,A40,1361.0,A61,A72,2.0,A93,A101,4.0,A121,40.0,A143,A152,1.0,A172,2.0,A191,A202,1
A11,30.0,A34,A41,10623.0,A61,A75,3.0,A93,A101,4.0,A124,38.0,A143,A153,3.0,A174,2.0,A192,A201,1
A14,24.0,A34,A42,2028.0,A61,A74,2.0,A93,A101,2.0,A122,30.0,A143,A152,2.0,A172,1.0,A191,A201,1
A14,10.0,A34,A42,2146.0,A61,A72,1.0,A92,A101,3.0,A121,23.0,A143,A151,2.0,A173,1.0,A191,A201,1
A14,24.0,A32,A43,1376.0,A63,A74,4.0,A92,A101,1.0,A123,28.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,12.0,A34,A44,1424.0,A61,A74,4.0,A93,A101,3.0,A122,26.0,A143,A152,1.0,A173,1.0,A191,A201,1
A13,42.0,A34,A41,4796.0,A61,A75,4.0,A93,A101,4.0,A124,56.0,A143,A153,1.0,A173,1.0,A191,A201,1
A12,36.0,A34,A41,5800.0,A61,A73,3.0,A93,A101,4.0,A123,34.0,A143,A152,2.0,A173,1.0,A192,A201,1
A14,12.0,A34,A40,926.0,A61,A71,1.0,A92,A101,2.0,A122,38.0,A143,A152,1.0,A171,1.0,A191,A201,1
A11,18.0,A32,A40,2249.0,A62,A74,4.0,A93,A101,3.0,A123,30.0,A143,A152,1.0,A174,2.0,A192,A201,1
A12,12.0,A32,A49,1037.0,A62,A74,3.0,A93,A101,4.0,A121,39.0,A143,A152,1.0,A172,1.0,A191,A201,1
A14,15.0,A32,A41,3029.0,A61,A74,2.0,A93,A101,2.0,A123,33.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,18.0,A32,A42,3650.0,A61,A72,1.0,A92,A101,4.0,A123,22.0,A143,A151,1.0,A173,1.0,A191,A201,1
A14,15.0,A32,A44,874.0,A65,A72,4.0,A92,A101,1.0,A121,24.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,24.0,A32,A42,7721.0,A65,A72,1.0,A92,A101,2.0,A122,30.0,A143,A152,1.0,A173,1.0,A192,A202,1
A14,12.0,A32,A42,1736.0,A61,A74,3.0,A92,A101,4.0,A121,31.0,A143,A152,1.0,A172,1.0,A191,A201,1
A13,30.0,A34,A43,3656.0,A65,A75,4.0,A93,A101,4.0,A122,49.0,A142,A152,2.0,A172,1.0,A191,A201,1
A11,36.0,A32,A41,5493.0,A61,A75,2.0,A93,A101,4.0,A124,42.0,A143,A153,1.0,A173,2.0,A191,A201,1
A14,24.0,A32,A43,999.0,A65,A75,4.0,A93,A101,2.0,A123,25.0,A143,A152,2.0,A173,1.0,A191,A201,1
A11,30.0,A32,A41,3857.0,A61,A73,4.0,A91,A101,4.0,A122,40.0,A143,A152,1.0,A174,1.0,A192,A201,1
A14,60.0,A32,A40,6527.0,A65,A73,4.0,A93,A101,4.0,A124,34.0,A143,A153,1.0,A173,2.0,A192,A201,1
A14,24.0,A34,A41,4042.0,A65,A74,3.0,A93,A101,4.0,A122,43.0,A143,A152,2.0,A173,1.0,A192,A201,1
A14,14.0,A33,A40,802.0,A61,A73,4.0,A93,A101,2.0,A123,27.0,A143,A152,2.0,A172,1.0,A191,A201,1
A14,36.0,A33,A41,8947.0,A65,A74,3.0,A93,A101,2.0,A123,31.0,A142,A152,1.0,A174,2.0,A192,A201,1
A14,6.0,A32,A43,1595.0,A61,A74,3.0,A93,A101,2.0,A122,51.0,A143,A152,1.0,A173,2.0,A191,A201,1
A14,15.0,A33,A42,960.0,A64,A74,3.0,A92,A101,2.0,A122,30.0,A143,A152,2.0,A173,1.0,A191,A201,1
A12,36.0,A32,A43,2323.0,A61,A74,4.0,A93,A101,4.0,A123,24.0,A143,A151,1.0,A173,1.0,A191,A201,1
A14,18.0,A32,A43,4594.0,A61,A72,3.0,A93,A101,2.0,A123,32.0,A143,A152,1.0,A173,1.0,A192,A201,1
A14,6.0,A32,A42,1543.0,A64,A73,4.0,A91,A101,2.0,A121,33.0,A143,A152,1.0,A173,1.0,A191,A201,1
A13,6.0,A32,A40,709.0,A64,A72,2.0,A94,A101,2.0,A121,27.0,A143,A152,1.0,A171,1.0,A191,A202,1
A14,15.0,A34,A43,1316.0,A63,A73,2.0,A94,A101,2.0,A122,47.0,A143,A152,2.0,A172,1.0,A191,A201,1
A13,10.0,A32,A40,3949.0,A61,A72,1.0,A93,A103,1.0,A122,37.0,A143,A152,1.0,A172,2.0,A191,A201,1
A12,12.0,A32,A43,1103.0,A61,A74,4.0,A93,A103,3.0,A121,29.0,A143,A152,2.0,A173,1.0,A191,A202,1
A14,12.0,A34,A40,1255.0,A61,A75,4.0,A93,A101,4.0,A121,61.0,A143,A152,2.0,A172,1.0,A191,A201,1
A14,12.0,A32,A40,1101.0,A61,A73,3.0,A94,A101,2.0,A121,27.0,A143,A152,2.0,A173,1.0,A192,A201,1
A12,36.0,A32,A46,3711.0,A65,A73,2.0,A94,A101,2.0,A123,27.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,36.0,A33,A40,10875.0,A61,A75,2.0,A93,A101,2.0,A123,45.0,A143,A152,2.0,A173,2.0,A192,A201,1
A11,12.0,A31,A48,339.0,A61,A75,4.0,A94,A101,1.0,A123,45.0,A141,A152,1.0,A172,1.0,A191,A201,1
