@RELATION myRel

@ATTRIBUTE Handicapped_infants {y, n}
@ATTRIBUTE Water_project_cost {y, n}
@ATTRIBUTE Adoption_budget_resolution {y, n}
@ATTRIBUTE Physician_fee_freeze {y, n}
@ATTRIBUTE El_salvador_aid {y, n}
@ATTRIBUTE Religious_groups_in_schools {y, n}
@ATTRIBUTE Anti_satellite_test_ban {y, n}
@ATTRIBUTE Aid_to_nicaraguan_contras {y, n}
@ATTRIBUTE Mx_missile {y, n}
@ATTRIBUTE Immigration {y, n}
@ATTRIBUTE Synfuels_corporation_cutback {y, n}
@ATTRIBUTE Education_spending {y, n}
@ATTRIBUTE Superfund_right_to_sue {y, n}
@ATTRIBUTE Crime {y, n}
@ATTRIBUTE Duty_free_exports {y, n}
@ATTRIBUTE Export_south_africa {y, n}
@ATTRIBUTE Class {republican, democrat}

@DATA
y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y,democrat
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,democrat
n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,democrat
y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y,democrat
n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y,democrat
n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y,democrat
y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y,democrat
y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y,democrat
n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y,democrat
n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y,democrat
y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y,democrat
n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y,democrat
y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y,democrat
n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y,democrat
y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y,democrat
y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n,republican
y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y,republican
y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,republican
n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y,republican
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,republican
n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n,republican
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y,republican
n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y,republican
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y,republican
